acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,site
2022-09-13T17:56:09.700831Z,0.0,95,87,0.11,11,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-09-14T01:13:35Z,finalized,standard,100.8,2427,1,0,5926616,131.5,45.8,2022-09-14T04:26:37Z,5.0,80,89,20180916_181200_0f2a,scott_creek
2022-09-13T17:56:11.992471Z,0.0,94,77,0.22,22,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-09-13T21:47:20Z,finalized,standard,100.9,2427,0,0,5926616,131.3,45.9,2022-09-14T04:26:41Z,5.0,81,78,20180916_182524_1034,scott_creek
2022-09-09T17:57:11.523814Z,0.0,95,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-09-10T17:28:08Z,finalized,standard,107.7,2431,0,0,5918071,129.4,46.6,2022-10-24T21:05:02Z,1.1,78,100,20180919_181150_1053,scott_creek
2022-09-08T17:53:40.545446Z,0.0,96,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-09-09T03:35:45Z,finalized,standard,100.8,2459,0,0,5914871,128.4,46.5,2022-09-09T04:31:18Z,5.0,78,100,20180919_182256_0e20,scott_creek
2022-09-08T18:32:56.278225Z,0.0,96,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-09-09T02:41:51Z,finalized,standard,276.8,2482,0,0,5915310,139.8,51.7,2022-09-09T10:16:30Z,3.0,78,100,20180920_182554_1042,scott_creek
2022-09-07T18:29:30.857463Z,0.0,97,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-09-08T01:21:32Z,finalized,standard,102.5,2498,0,0,5912598,139.2,52.1,2022-09-15T02:57:34Z,3.9,78,100,20180930_182405_0e2f,scott_creek
2022-09-06T18:30:13.370641Z,0.0,97,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-09-07T05:44:41Z,finalized,standard,108.0,2490,0,0,5909950,138.6,52.3,2022-09-28T07:31:39Z,1.0,97,100,20181005_182610_0f3f,scott_creek
2022-09-05T18:01:04.795674Z,0.0,96,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-09-05T23:21:29Z,finalized,standard,276.5,2421,0,0,5907964,128.2,47.8,2022-09-06T09:59:38Z,3.0,78,100,20181006_212938_0f02,scott_creek
2022-09-04T18:29:44.442964Z,0.0,98,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-09-05T01:23:44Z,finalized,standard,103.5,2478,0,0,5905440,137.8,52.8,2022-09-05T10:01:08Z,2.0,76,100,20181007_180925_0f40,scott_creek
2022-09-04T17:52:57.06444Z,0.0,97,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-09-05T00:09:07Z,finalized,standard,101.2,2447,0,0,5905669,126.6,47.5,2022-09-05T09:59:34Z,5.0,75,100,20181008_182707_0f43,scott_creek
2022-09-03T18:32:31.274346Z,0.0,97,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-09-03T22:30:22Z,finalized,standard,278.3,2483,0,0,5902798,137.3,53.0,2022-09-04T04:43:27Z,5.0,75,100,20181013_180814_104e,scott_creek
2022-09-01T18:30:25.680326Z,0.0,98,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-09-02T01:25:28Z,finalized,standard,107.5,2474,0,0,5898134,136.6,53.6,2022-09-02T09:57:38Z,1.1,77,100,20181014_182733_100e,scott_creek
2022-08-26T18:45:41.719328Z,0.0,98,88,0.12,12,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2022-08-26T23:36:15Z,finalized,standard,272.6,2414,0,0,5883853,139.1,57.0,2022-08-27T06:03:07Z,1.0,74,88,20181015_213116_0f4c,scott_creek
2022-08-11T17:58:17.291888Z,0.0,96,83,0.17,17,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-08-12T04:40:13Z,finalized,standard,277.9,2420,0,0,5849165,116.5,52.4,2022-08-12T08:11:54Z,5.0,74,83,20181016_180727_1048,scott_creek
2022-08-10T18:30:16.109871Z,0.0,98,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-08-10T22:08:26Z,finalized,standard,106.7,248b,0,0,5846885,126.5,58.5,2022-08-11T04:46:05Z,1.0,70,100,20181016_182630_0f52,scott_creek
